Id	name	latitude	longitude	address	network
272	Tesla Bosc	43.689	3.354	Le Bosc Supercharger, La Méridienne, 34700 Le Bosc, France	Tesla
273	Rognes	43.664	5.33	860 Route de Lambesc, 13840 Rognes, France	Maison
274	La Besse	44.567	2.308	unnamed road, 12300 La Bessenoits, France	Maison
275	Revel Decaze	44.556	2.257	1 Place Decazes, 12300 Decazeville, France	Reveo
276	Mad Monts	45.365	1.245	6 Impasse des Monts, 24270 Saint-Mesmin, France	Maison
277	Pkg Nb	43.182	3.006	3 Cours Mirabeau, 11100 Narbonne, France	Indigo
278	McDo Salon	43.628	5.112	125 Rue Emmanuel Vitria, 13300 Salon-de-Provence, France	Izivia
279	Tesla Narbonne	43.162	2.982	42g Route de Perpignan, 11100 Narbonne, France	Tesla
280	Ionity Larzac	43.985	3.183	D 809, 12230 L'Hospitalet-du-Larzac, France	Ionity
281	McDonald's Mozac	45.89	3.074	65 Avenue Jean Jaurès, 63200 Mozac, France	Izivia
282	McDonald's Champagne	45.803	4.785	8bis Avenue Général de Gaulle, 69410 Champagne-au-Mont-d'Or, France	Izivia
283	McDonald's Montélimar	44.532	4.746	220 Route de Marseille, 26200 Montélimar, France	Izivia
284	McDonald's La Verpilliére	45.643	5.132	70 Impasse de la Plaine, 38290 La Verpillière, France	Izivia
285	Tesla Annecy	45.877	6.088	18 Avenue de Périaz, 74600 Annecy, France	Tesla
286	McDonald's Annecy	45.933	6.083	272 Rue des Peupliers, 74330 Epagny Metz-Tessy, France	Izivia
287	McDonald's Sevrier	45.859	6.142	220 Route des Choseaux, 74320 Sevrier, France	Izivia
288	McDonald's Lempdes	45.776	3.186	62 avenue de l'Europe, 63370 Lempdes, France	Izivia
289	Tesla Albertville	45.655	6.366	552 Avenue Georges Pompidou, 73200 Gilly-sur-Isère, France	Tesla
290	McDonald's La tour du pin	45.568	5.429	683 Route de Lyon, 38110 Saint-Jean-de-Soudain, France	Izivia
291	McDonald's Cournon	45.74	3.173	3 avenue du Maréchal Leclerc, 63800 Cournon-d'Auvergne, France	Izivia
292	Tesla Béziers	43.338	3.285	246 Avenue de la Méridienne, 34420 Villeneuve-lès-Béziers, France	Tesla
293	McDonald's Auch	43.65	0.595	2 Rue Clément Ader, 32000 Auch, France	Izivia
294	Tesla Briançon	44.904	6.63	4d Chemin Fanton, 05100 Briançon, France	Tesla
295	Tesla Vicolungo	45.467	8.462	Corso San Giovanni della Croce, 28061 Vicolungo NO, Italy	Tesla
296	Tesla Bergamo	45.652	9.619	Tesla Supercharger Bergamo Dalmine, Italy, Via Gianlucio Picciardi, 24044 Dalmine BG, Italy	Tesla
297	Chez Paolo Vestone	45.7	10.388	Strada Provinciale BS 237 del Caffaro, 25078 Nozza BS, Italy	Maison
298	Tesla Settimo	45.127	7.737	Torino Outlet Village, Via Torino, 10036 Settimo Torinese TO, Italy	Tesla
